state,city,1.0,2.0,3.0,4.0,5.0
Iowa,Polk City,Malus,Pyrus,Fraxinus pennsylvanica,Acer rubrum,Quercus bicolor
Iowa,Prairie City,Picea,Acer saccharinum,Thuja occidentalis,Acer saccharum,Fraxinus
Iowa,Redfield,Malus,Acer saccharinum,Fraxinus pennsylvanica,Acer,Celtis occidentalis
Iowa,Runnells,Fraxinus pennsylvanica,Acer saccharinum,Acer,Acer rubrum,Picea
Iowa,Stuart,Acer saccharum,Fraxinus pennsylvanica,Acer saccharinum,Acer platanoides,Gleditsia triacanthos
Iowa,Sully,Acer saccharum,Acer saccharinum,Fraxinus pennsylvanica,Picea,Gleditsia triacanthos
Iowa,Union,Acer saccharum,Acer nigrum,Acer platanoides,Acer saccharinum,Fraxinus
Iowa,Van Meter,Acer saccharum,Platanus occidentalis,Acer saccharinum,Quercus palustris,Ulmus pumila
Iowa,Waukee,Fraxinus pennsylvanica,Malus,Picea,Tilia cordata,Pinus strobus
Iowa,Windsor Heights,Fraxinus pennsylvanica,Pyrus,Populus,Malus,Gleditsia triacanthos
Iowa,Woodward,Acer saccharinum,Acer platanoides,Acer nigrum,Fraxinus pennsylvanica,Malus
Kansas,Overland Park,Acer rubrum,Fraxinus americana,Quercus palustris,Liquidambar styraciflua,Fraxinus pennsylvanica
Kentucky,Louisville,Acer saccharum,Quercus palustris,Acer rubrum,Fraxinus pennsylvanica,Celtis occidentalis
Louisiana,New Orleans,Lagerstroemia indica,Quercus virginiana,Taxodium distichum,Ilex attenuata,Magnolia grandiflora
Maryland,Baltimore,Acer rubrum,Zelkova serrata,Platanus acerifolia,Tilia cordata,Prunus
Massachusetts,Boston,Pinus strobus,Acer rubrum,Quercus rubra,Prunus serotina,Tree
Michigan,Detroit,Salix,Populus,Acer rubrum,Ulmus,Platanus acerifolia
Michigan,Grand Rapids,Acer platanoides,Gleditsia triacanthos,Acer rubrum,Acer saccharum,Tilia cordata
Missouri,St. Louis,Acer rubrum,Fraxinus pennsylvanica,Pyrus calleryana,Quercus palustris,Fraxinus americana
Nevada,Las Vegas,Pinus brutia,Fraxinus velutina,Washingtonia robusta,Acacia stenophylla,Vitex agnus-castus
New Mexico,Albuquerque,Ulmus pumila,Platanus acerifolia,Gleditsia triacanthos,Pinus nigra,Fraxinus
New York,Buffalo,Acer platanoides,Tilia cordata,Acer saccharinum,Malus,Acer rubrum
New York,New York,Platanus acerifolia,Gleditsia triacanthos,Pyrus calleryana,Quercus palustris,Acer platanoides
New York,Rochester,Gleditsia triacanthos,Tilia cordata,Platanus acerifolia,Fraxinus pennsylvanica,Quercus rubra
North Carolina,Durham,Lagerstroemia,Quercus phellos,Acer buergerianum,Acer rubrum,Ulmus parvifolia
North Carolina,Greensboro,Lagerstroemia,Quercus phellos,Carya illinoinensis,Ulmus,Celtis occidentalis
Ohio,Columbus,Fraxinus pennsylvanica,Pyrus calleryana,Acer rubrum,Acer saccharum,Gleditsia triacanthos
Oklahoma,Oklahoma City,Juniperus virginiana,Lagerstroemia indica,Quercus stellata,Pistacia chinensis,Ulmus parvifolia
Oregon,Portland,Prunus,Acer platanoides,Acer rubrum,Pyrus,Acer
Pennsylvania,Pittsburgh,Acer platanoides,Acer rubrum,Platanus acerifolia,Pyrus calleryana,Tilia cordata
South Dakota,Sioux Falls,Fraxinus pennsylvanica,Acer platanoides,Acer freemanii,Acer saccharinum,Tilia cordata
Tennessee,Knoxville,Acer rubrum,Cornus florida,Acer saccharum,Lagerstroemia indica,Cercis canadensis
Tennessee,Nashville,Platanus acerifolia,Zelkova serrata,Quercus phellos,Liquidambar styraciflua,Ulmus parvifolia
Texas,Austin,Carya illinoinensis,Ulmus crassifolia,Quercus virginiana,Lagerstroemia indica,Quercus fusiformis
Texas,Dallas,Quercus virginiana,Ulmus crassifolia,Quercus shumardii,Taxodium distichum,Lagerstroemia indica
Texas,Houston,Lagerstroemia indica,Quercus virginiana,Celtis occidentalis,Quercus nigra,Triadica sebifera
Texas,Plano,Ulmus crassifolia,Celtis occidentalis,Quercus rubra,Quercus virginiana,Taxodium distichum
Virginia,Richmond,Acer saccharum,Quercus phellos,Lagerstroemia indica,Acer rubrum,Quercus palustris
Washington,Seattle,Prunus cerasifera,Acer rubrum,Acer platanoides,Malus,Prunus L.
Wisconsin,Brown Deer,Fraxinus pennsylvanica,Acer saccharum,Quercus rubra,Celtis occidentalis,Tilia americana
Wisconsin,Cedarburg,Tilia americana,,,,
Wisconsin,Cudahy,Gleditsia triacanthos,Tilia americana,Acer saccharinum,Acer saccharum,Fraxinus pennsylvanica
Wisconsin,Fox Point,Thuja occidentalis,Aesculus hippocastanum,Fraxinus pennsylvanica,Pinus resinosa,Quercus rubra
Wisconsin,Franklin,Quercus rubra,Gleditsia triacanthos,Malus tschonoskii,Acer saccharum,Fraxinus americana
Wisconsin,Glendale,Fraxinus pennsylvanica,Acer saccharum,Acer platanoides,Quercus rubra,Acer saccharinum
Wisconsin,Greendale,Fraxinus pennsylvanica,Celtis occidentalis,Pinus resinosa,Pinus sylvestris,Malus tschonoskii
Wisconsin,Greenfield,Acer saccharum,Fraxinus pennsylvanica,Quercus rubra,Acer platanoides,Quercus alba
Wisconsin,Hales Corners,Acer saccharum,Fraxinus pennsylvanica,Gleditsia triacanthos,Juglans nigra,Acer platanoides
Wisconsin,Madison,Acer platanoides,Fraxinus pennsylvanica,Tilia,Tilia cordata,Gleditsia triacanthos
Wisconsin,Milwaukee,Gleditsia triacanthos,Fraxinus pennsylvanica,Acer platanoides,Acer saccharum,Celtis occidentalis
Wisconsin,Muskego,Acer ginnala,Fagus grandifolia,,,
Wisconsin,New Berlin,Fraxinus pennsylvanica,Picea pungens,Acer platanoides,Fraxinus americana,Gleditsia triacanthos
Wisconsin,Oak Creek,Quercus rubra,Malus tschonoskii,Gleditsia triacanthos,Acer saccharum,Quercus alba
Wisconsin,Shorewood,Crataegus,Juglans nigra,Malus tschonoskii,Acer platanoides,Acer saccharum
Wisconsin,South Milwaukee,Acer saccharum,Fraxinus americana,Celtis occidentalis,Gleditsia triacanthos,Quercus rubra
Wisconsin,Watertown,Acer platanoides,Tilia cordata,Pyrus calleryana,Gleditsia triacanthos,Malus tschonoskii
Wisconsin,Wauwatosa,Fraxinus pennsylvanica,Acer saccharum,Acer platanoides,Gleditsia triacanthos,Quercus rubra
Wisconsin,West Allis,Celtis occidentalis,Gleditsia triacanthos,Fraxinus pennsylvanica,Malus tschonoskii,Acer saccharum
Wisconsin,West Bend,Populus tremuloides,,,,
Wisconsin,West Milwaukee,Acer saccharum,Crataegus,Gleditsia triacanthos,Juniperus virginiana,Quercus rubra
Wisconsin,Whitefish Bay,Gleditsia triacanthos,Robinia pseudoacacia,Tilia,Quercus rubra,Fraxinus
Wisconsin,Wind Lake,Carya ovata,,,,
