source,target,value
Arizona,Phoenix,72
Phoenix,Arecaceae,16
Phoenix,Fabaceae,14
Phoenix,Oleaceae,31
Phoenix,Rutaceae,11
Rutaceae,Citrus paradisi,11
Oleaceae,Fraxinus,12
Fabaceae,Cercidium floridum,14
Arecaceae,Syagrus romanzoffiana,16
Oleaceae,Fraxinus velutina,19
