source,target,value
Oregon,Portland,1
Portland,Rosaceae,37335
Portland,Sapindaceae,45319
Sapindaceae,Acer,10635
Rosaceae,Pyrus,11700
Sapindaceae,Acer rubrum,15475
Sapindaceae,Acer platanoides,19209
Rosaceae,Prunus,25635
