source,target,value
Oklahoma,OklahomaCity,3006
OklahomaCity,Anacardiaceae,567
OklahomaCity,Cupressaceae,711
OklahomaCity,Fagaceae,584
OklahomaCity,Lythraceae,689
OklahomaCity,Ulmaceae,455
Ulmaceae,Ulmus parvifolia,455
Anacardiaceae,Pistacia chinensis,567
Fagaceae,Quercus stellata,584
Lythraceae,Lagerstroemia indica,689
Cupressaceae,Juniperus virginiana,711
