source,target,value
Hawaii,Kailua,6003
Kailua,Arecaceae,3243
Kailua,Bignoniaceae,939
Kailua,Fabaceae,1821
Fabaceae,Albizia saman,845
Bignoniaceae,Tabebuia heterophylla,939
Fabaceae,Cassia nealiae,976
Arecaceae,Adonidia merrillii,1523
Arecaceae,Cocos nucifera,1720
