source,target,value
South Dakota,SiouxFalls,39513
SiouxFalls,Malvaceae,3097
SiouxFalls,Oleaceae,21452
SiouxFalls,Sapindaceae,14964
Malvaceae,Tilia cordata,3097
Sapindaceae,Acer saccharinum,4327
Sapindaceae,Acer freemanii,4933
Sapindaceae,Acer platanoides,5704
Oleaceae,Fraxinus pennsylvanica,21452
