source,target,value
Kentucky,Louisville,7516
Louisville,Cannabaceae,1086
Louisville,Fagaceae,1678
Louisville,Oleaceae,1404
Louisville,Sapindaceae,3348
Cannabaceae,Celtis occidentalis,1086
Oleaceae,Fraxinus pennsylvanica,1404
Sapindaceae,Acer rubrum,1538
Fagaceae,Quercus palustris,1678
Sapindaceae,Acer saccharum,1810
