source,target,value
District of Columbia,WashingtonDC,1
WashingtonDC,Fagaceae,18884
WashingtonDC,Sapindaceae,12709
WashingtonDC,Ulmaceae,15357
Ulmaceae,Zelkova serrata,6343
Fagaceae,Quercus palustris,8904
Ulmaceae,Ulmus americana,9014
Fagaceae,Quercus phellos,9980
Sapindaceae,Acer rubrum,12709
