source,target,value
Washington,Seattle,1
Seattle,Rosaceae,13450
Seattle,Sapindaceae,13847
Rosaceae,Malus,5206
Sapindaceae,Acer platanoides,6304
Sapindaceae,Acer rubrum,7543
Rosaceae,Prunus cerasifera,8244
