source,target,value
Iowa,DeSoto,5823
DeSoto,Oleaceae,1558
DeSoto,Rosaceae,1263
DeSoto,Sapindaceae,3002
Sapindaceae,Acer platanoides,712
Sapindaceae,Acer saccharum,1088
Sapindaceae,Acer saccharinum,1202
Rosaceae,Malus,1263
Oleaceae,Fraxinus pennsylvanica,1558
